article_nr,name,min_sales_4_mondays,min_batch_size,old_min_stock,new_min_stock,changed
05801,"Kleine Schaumzuckertorte Ptichye Moloko""""",14,6,0,14,1
05863,"Biskuittorte Tag und Nacht"", für Thekenverkauf""",0,1,0,1,1
09993,Mautgebühr,2,1,0,2,1
95730,Geburtstagskerze Comic No 0,0,1,0,1,1
95731,Geburtstagskerze Comic No 1,0,1,0,1,1
95732,Geburtstagskerze Comic No 2,0,1,0,1,1
95733,Geburtstagskerze Comic No 3,0,1,0,1,1
95734,Geburtstagskerze Comic No 4,0,1,0,1,1
95735,Geburtstagskerze Comic No 5,0,1,0,1,1
95736,Geburtstagskerze Comic No 6,0,1,0,1,1
95737,Geburtstagskerze Comic No 7,0,1,0,1,1
95739,Geburtstagskerze Comic No 9,0,1,0,1,1
95751,Farbige Geburtstagskerzen mit Halterung,0,1,0,1,1
95778,"Geburtstagskerzen EINHORN MIX""""",0,1,0,1,1
