article_nr,name,min_positive_sales,min_batch_size,old_min_stock,new_min_stock,changed
05801,"Kleine Schaumzuckertorte Ptichye Moloko""""",14,6,14,18,1
05863,"Biskuittorte Tag und Nacht"", für Thekenverkauf""",1,1,1,1,0
09993,Mautgebühr,2,1,2,2,0
95730,Geburtstagskerze Comic No 0,1,1,1,1,0
95731,Geburtstagskerze Comic No 1,1,1,1,1,0
95732,Geburtstagskerze Comic No 2,1,1,1,1,0
95733,Geburtstagskerze Comic No 3,1,1,1,1,0
95734,Geburtstagskerze Comic No 4,1,1,1,1,0
95735,Geburtstagskerze Comic No 5,1,1,1,1,0
95736,Geburtstagskerze Comic No 6,1,1,1,1,0
95737,Geburtstagskerze Comic No 7,1,1,1,1,0
95739,Geburtstagskerze Comic No 9,1,1,1,1,0
95751,Farbige Geburtstagskerzen mit Halterung,1,1,1,1,0
95778,"Geburtstagskerzen EINHORN MIX""""",1,1,1,1,0
